what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1376499487530
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1376499487531
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1376499487537
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1376499487539
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1376499487551
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1376499487552
os,sysinfo,,,"linux",1376499487563
arch,sysinfo,,,"x86",1376499487563
ws,sysinfo,,,"gtk",1376499487563
locale,sysinfo,,,"en_US",1376499487563
processors,sysinfo,,,"2",1376499487563
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1376499487563
java.runtime.version,sysinfo,,,"1.7.0_25-b30",1376499487563
java.specification.name,sysinfo,,,"Java Platform API Specification",1376499487563
java.specification.vendor,sysinfo,,,"Oracle Corporation",1376499487563
java.specification.version,sysinfo,,,"1.7",1376499487563
java.vendor,sysinfo,,,"Oracle Corporation",1376499487563
java.version,sysinfo,,,"1.7.0_25",1376499487563
java.vm.info,sysinfo,,,"mixed mode, sharing",1376499487563
java.vm.name,sysinfo,,,"OpenJDK Client VM",1376499487563
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376499487563
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1376499487563
java.vm.specification.version,sysinfo,,,"1.7",1376499487563
java.vm.vendor,sysinfo,,,"Oracle Corporation",1376499487563
java.vm.version,sysinfo,,,"23.7-b01",1376499487563
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376499488181
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376499488744
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1376499491540
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1376499502519
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1376499504809
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1376499508798
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1376499508823
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1376499508851
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1376499527663
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1376499527744
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1376499527788
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1376499527837
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1376499528069
